,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
421,Mirza Teletovic,PF,31,Milwaukee Bucks,MIL,1133,14.3,1.5,5,1.1,3.3,13.3,1.2,1.4,5.1,0.3,0.4,0.4,3.5,24.2,47.4,94.5,1.02010582,0.006041728
422,Garrett Temple,SG,30,Sacramento Kings,SAC,1728,10.5,3.5,3.8,1.2,1.7,9,1.6,1.5,3.8,0.7,0.6,1.7,2.9,22.5,46.1,94.9,1.015806112,0.004879078
423,Jason Terry,SG,39,Milwaukee Bucks,MIL,1365,8.1,2.6,2.8,0.6,1.9,6.4,0.9,0.8,2.8,0.4,0.5,1.2,2.5,24.2,47.4,94.5,1.02010582,0.005163572
424,Isaiah Thomas,PG,27,Boston Celtics,BOS,2569,30.8,6.3,9.6,8.3,3.4,20.6,2.9,9.1,2.9,0.6,0.2,1,2.3,25.2,45.4,96.8,0.995867769,0.007390941
425,Lance Thomas,PF,28,New York Knicks,NYK,968,10.2,1.3,3.6,1.6,1.4,9.1,0.9,1.9,5.3,1.2,0.2,0.8,3.2,21.8,44.7,96,1.004166667,0.006494435
426,Hollis Thompson,SG,25,New Orleans Pelicans,NOP,191,6.4,1.7,2.1,1.1,1.1,7.7,0.4,1.7,5.3,0.8,0,1.1,2.6,22.8,45,98,0.983673469,0.019227796
427,Klay Thompson,SG,26,Golden State Warriors,GSW,2649,23.7,2.2,8.8,2.5,3.6,18.7,1.7,3,3.9,0.7,0.5,0.9,1.9,30.4,49.5,99.8,0.965931864,0.004936418
428,Tristan Thompson,C,25,Cleveland Cavaliers,CLE,2336,9.7,1.2,4,1.6,0,6.7,1,3.3,11,4.4,1.3,0.6,2.7,22.7,47,96.2,1.002079002,0.004796496
429,Marcus Thornton,SG,29,Washington Wizards,WAS,575,13.7,2.6,5.3,1.4,1.8,13.1,1.6,1.7,4.8,1.4,0.2,1.2,3,23.9,47.5,97.4,0.98973306,0.013935143
430,Mike Tobey,C,22,Charlotte Hornets,CHO,25,2.9,1.4,1.4,0,0,5.8,1.4,0,4.3,2.9,0,0,2.9,23.1,44.2,95.7,1.007314525,0.010351407
