,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
320,Larry Nance Jr.,PF,24,Los Angeles Lakers,LAL,1442,11.2,2.4,4.7,1.5,0.2,9,1.4,2,9.2,3,1,2,3.7,20.9,45,98.5,0.978680203,0.007984727
321,Shabazz Napier,PG,25,Portland Trail Blazers,POR,512,15.3,4.7,5.1,2.7,2.4,12.9,2.9,3.4,4.3,0.6,0.1,2.3,2.7,21.1,45.9,96.7,0.996897622,0.019398762
322,Maurice Ndour,PF,24,New York Knicks,NYK,331,10.7,0.9,4.2,2.1,0.1,9.4,1.3,2.8,7,2.4,0.9,1.6,3.3,21.8,44.7,96,1.004166667,0.024997248
323,Gary Neal,SG,32,Atlanta Hawks,ATL,18,8,2,0,8,0,14,0,8,2,0,0,0,2,23.6,45.1,97.4,0.98973306,0
324,Jameer Nelson,PG,34,Denver Nuggets,DEN,2045,12.1,6.8,4.7,0.8,1.9,10.6,2.3,1.1,3.4,0.5,0.1,1,3.5,25.3,46.9,98.3,0.980671414,0.004274726
325,Raul Neto,PG,24,Utah Jazz,UTA,346,10.4,3.5,4.3,0.8,1,9.5,1.6,0.9,3.1,0.4,0.5,2.2,5,20.1,46.6,91.6,1.052401747,0.023512107
326,Georges Niang,PF,23,Indiana Pacers,IND,93,8.1,1.9,3.5,0.8,0.4,13.9,1.9,0.8,6.6,0.8,0,1.2,2.3,22.5,46.5,95.9,1.005213764,0.006802644
327,Andrew Nicholson,PF,27,Brooklyn Nets,BRK,111,9.7,1,4.2,0.6,0.6,11,1.9,0.6,8.8,1.3,0,1.6,5.8,21.4,44.4,101.3,0.951628825,0.036279078
328,Joakim Noah,C,31,New York Knicks,NYK,1015,8.2,3.7,3.5,1.2,0,7.2,2.1,2.8,14.3,5.7,1.3,1.1,4.5,21.8,44.7,96,1.004166667,0.01106787
329,Nerlens Noel,C,22,Dallas Mavericks,DAL,483,14,1.5,5.7,2.5,0,10,1.6,3.6,11.2,3.5,1.8,1.6,4.1,20.8,44,92.2,1.045553145,0.029934057
330,Lucas Nogueira,C,24,Toronto Raptors,TOR,1088,8.4,1.4,3.4,1.5,0.1,5.2,1.5,2.2,8.1,2.7,2.9,1.7,4.5,18.5,46.4,94.7,1.017951426,0.010532947
331,Steve Novak,PF,33,Milwaukee Bucks,MIL,22,8.2,0,3.3,0,1.6,11.5,0,0,4.9,0,0,0,1.6,24.2,47.4,94.5,1.02010582,0.069015218
332,Dirk Nowitzki,PF,38,Dallas Mavericks,DAL,1424,19.4,2.1,7.5,2.5,2,17.1,1.3,2.8,8.9,0.6,1,0.8,2.9,20.8,44,92.2,1.045553145,0.009064451
333,Jusuf Nurkic,C,22,Portland Trail Blazers,POR,584,18.7,3.9,7.4,3.9,0,14.5,3.8,6,12.8,4,2.3,1.5,4.5,21.1,45.9,96.7,0.996897622,0.026124168
334,David Nwaba,SG,24,Los Angeles Lakers,LAL,397,10.9,1.3,4.3,2.3,0.1,7.3,1,3.5,5.7,1.5,0.6,1.2,3.3,20.9,45,98.5,0.978680203,0.022943162
335,Johnny O'Bryant,PF,23,Charlotte Hornets,CHO,34,19.1,4.2,8.5,1.1,1.1,15.9,3.2,2.1,8.5,4.2,0,0,6.4,23.1,44.2,95.7,1.007314525,0.349200467
336,Kyle O'Quinn,C,26,New York Knicks,NYK,1229,14.5,3.4,6.3,1.9,0.1,12.1,2.2,2.4,12.9,4.6,3,1.1,5.1,21.8,44.7,96,1.004166667,0.012443275
337,Daniel Ochefu,C,23,Washington Wizards,WAS,75,11.5,1.4,5.8,0,0,13,1.4,1,10.6,2.4,0,1,8.2,23.9,47.5,97.4,0.98973306,0.072652617
338,Jahlil Okafor,C,21,Philadelphia 76ers,PHI,1134,18.7,1.8,7.7,3.4,0,15,2.9,5,7.6,2.6,1.6,0.6,3.9,23.8,44.2,98.5,0.978680203,0.009660239
339,Victor Oladipo,SG,24,Oklahoma City Thunder,OKC,2222,17.3,2.9,6.7,1.9,2.1,15.1,1.9,2.5,4.7,0.6,0.3,1.3,2.5,21,45.2,97.8,0.985685072,0.00464351
340,Kelly Olynyk,C,25,Boston Celtics,BOS,1538,15.9,3.5,6.1,2.1,1.6,11.9,2.2,2.9,8.4,1.7,0.7,1,4.8,25.2,45.4,96.8,0.995867769,0.007496454
341,Arinze Onuaku,C,29,Orlando Magic,ORL,28,5.1,2.6,2.6,0,0,5.1,2.6,0,7.7,2.6,1.3,0,3.9,22.2,44,96.8,0.995867769,0.168810992
342,Chinanu Onuaku,C,20,Houston Rockets,HOU,52,9.7,2.1,3.5,2.8,0,4.8,2.8,2.8,6.9,1.4,0.7,2.1,4.2,25.2,46.2,100,0.964,0.174984104
343,Kelly Oubre,SF,21,Washington Wizards,WAS,1605,11.2,1.1,4.2,1.7,1.2,9.9,1.1,2.2,5.9,1.4,0.4,1.3,4.4,23.9,47.5,97.4,0.98973306,0.004354492
344,Zaza Pachulia,C,32,Golden State Warriors,GSW,1268,12.1,3.7,4.7,2.8,0,8.7,2.5,3.6,11.6,4,0.9,1.7,4.7,30.4,49.5,99.8,0.965931864,0.00933945
345,Georgios Papagiannis,C,19,Sacramento Kings,SAC,355,12.6,2,5.7,1.2,0,10.3,2.4,1.4,8.7,2.4,1.7,0.3,4.5,22.5,46.1,94.9,1.015806112,0.027311695
346,Jabari Parker,PF,21,Milwaukee Bucks,MIL,1728,21.4,3,8.3,3.4,1.4,17,1.9,4.5,6.5,1.6,0.5,1,2.3,24.2,47.4,94.5,1.02010582,0.008230871
347,Tony Parker,PG,34,San Antonio Spurs,SAS,1587,14.5,6.5,6,1.9,0.5,12.9,2,2.7,2.6,0.2,0,0.8,2.1,23.8,46.9,94.2,1.023354565,0.006159552
348,Chandler Parsons,SF,28,Memphis Grizzlies,MEM,675,11.2,2.9,4,1.9,1.3,11.8,1.3,2.3,4.5,0.3,0.3,1.1,2.8,21.3,43.5,92.3,1.044420368,0.008700844
349,Lamar Patterson,SG,25,Atlanta Hawks,ATL,40,8.1,5.4,2.7,1.8,0.9,13.5,3.6,2.7,6.3,0.9,0,0.9,5.4,23.6,45.1,97.4,0.98973306,-0.028306891
350,Patrick Patterson,PF,27,Toronto Raptors,TOR,1599,10,1.7,3.5,1,2.1,8.6,0.9,1.4,6.6,1.4,0.5,0.9,2.7,18.5,46.4,94.7,1.017951426,0.005106604
